junction,timestamp,avg_speed,vehicle_count
Thika Road - Muthaiga,1/1/2025 5:00,58,97
Uhuru Highway - Haile Selassie,1/1/2025 5:00,67,119
Waiyaki Way - Westlands,1/1/2025 5:00,48,96
Ngong Road - Adams Arcade,1/1/2025 5:00,51,108
Jogoo Road - City Stadium,1/1/2025 5:00,52,87
Thika Road - Muthaiga,1/1/2025 5:15,56,83
Uhuru Highway - Haile Selassie,1/1/2025 5:15,39,113
Waiyaki Way - Westlands,1/1/2025 5:15,45,74
Ngong Road - Adams Arcade,1/1/2025 5:15,47,69
Jogoo Road - City Stadium,1/1/2025 5:15,36,81
Thika Road - Muthaiga,1/1/2025 5:30,58,111
Uhuru Highway - Haile Selassie,1/1/2025 5:30,43,121
Waiyaki Way - Westlands,1/1/2025 5:30,50,91
Ngong Road - Adams Arcade,1/1/2025 5:30,48,67
Jogoo Road - City Stadium,1/1/2025 5:30,45,85
Thika Road - Muthaiga,1/1/2025 5:45,74,80
Uhuru Highway - Haile Selassie,1/1/2025 5:45,46,109
Waiyaki Way - Westlands,1/1/2025 5:45,40,112
Ngong Road - Adams Arcade,1/1/2025 5:45,29,88
Jogoo Road - City Stadium,1/1/2025 5:45,49,75
Thika Road - Muthaiga,1/1/2025 6:00,61,101
Uhuru Highway - Haile Selassie,1/1/2025 6:00,52,108
Waiyaki Way - Westlands,1/1/2025 6:00,44,77
Ngong Road - Adams Arcade,1/1/2025 6:00,53,78
Jogoo Road - City Stadium,1/1/2025 6:00,33,100
Thika Road - Muthaiga,1/1/2025 6:15,56,94
Uhuru Highway - Haile Selassie,1/1/2025 6:15,59,99
Waiyaki Way - Westlands,1/1/2025 6:15,57,115
Ngong Road - Adams Arcade,1/1/2025 6:15,42,72
Jogoo Road - City Stadium,1/1/2025 6:15,55,99
Thika Road - Muthaiga,1/1/2025 6:30,58,82
Uhuru Highway - Haile Selassie,1/1/2025 6:30,45,93
Waiyaki Way - Westlands,1/1/2025 6:30,60,112
Ngong Road - Adams Arcade,1/1/2025 6:30,53,83
Jogoo Road - City Stadium,1/1/2025 6:30,42,100
Thika Road - Muthaiga,1/1/2025 6:45,72,95
Uhuru Highway - Haile Selassie,1/1/2025 6:45,67,109
Waiyaki Way - Westlands,1/1/2025 6:45,56,60
Ngong Road - Adams Arcade,1/1/2025 6:45,42,86
Jogoo Road - City Stadium,1/1/2025 6:45,32,96
Thika Road - Muthaiga,1/1/2025 7:00,40,140
Uhuru Highway - Haile Selassie,1/1/2025 7:00,30,198
Waiyaki Way - Westlands,1/1/2025 7:00,27,147
Ngong Road - Adams Arcade,1/1/2025 7:00,30,149
Jogoo Road - City Stadium,1/1/2025 7:00,34,144
Thika Road - Muthaiga,1/1/2025 7:15,45,145
Uhuru Highway - Haile Selassie,1/1/2025 7:15,31,165
Waiyaki Way - Westlands,1/1/2025 7:15,19,154
Ngong Road - Adams Arcade,1/1/2025 7:15,30,140
Jogoo Road - City Stadium,1/1/2025 7:15,28,152
Thika Road - Muthaiga,1/1/2025 7:30,34,122
Uhuru Highway - Haile Selassie,1/1/2025 7:30,27,170
Waiyaki Way - Westlands,1/1/2025 7:30,34,157
Ngong Road - Adams Arcade,1/1/2025 7:30,29,164
Jogoo Road - City Stadium,1/1/2025 7:30,29,155
Thika Road - Muthaiga,1/1/2025 7:45,37,115
Uhuru Highway - Haile Selassie,1/1/2025 7:45,54,176
Waiyaki Way - Westlands,1/1/2025 7:45,33,157
Ngong Road - Adams Arcade,1/1/2025 7:45,18,135
Jogoo Road - City Stadium,1/1/2025 7:45,36,169
Thika Road - Muthaiga,1/1/2025 8:00,30,155
Uhuru Highway - Haile Selassie,1/1/2025 8:00,23,197
Waiyaki Way - Westlands,1/1/2025 8:00,48,168
Ngong Road - Adams Arcade,1/1/2025 8:00,23,121
Jogoo Road - City Stadium,1/1/2025 8:00,25,153
Thika Road - Muthaiga,1/1/2025 8:15,38,120
Uhuru Highway - Haile Selassie,1/1/2025 8:15,38,160
Waiyaki Way - Westlands,1/1/2025 8:15,43,146
Ngong Road - Adams Arcade,1/1/2025 8:15,25,124
Jogoo Road - City Stadium,1/1/2025 8:15,20,164
Thika Road - Muthaiga,1/1/2025 8:30,47,147
Uhuru Highway - Haile Selassie,1/1/2025 8:30,35,151
Waiyaki Way - Westlands,1/1/2025 8:30,37,163
Ngong Road - Adams Arcade,1/1/2025 8:30,17,117
Jogoo Road - City Stadium,1/1/2025 8:30,32,159
Thika Road - Muthaiga,1/1/2025 8:45,40,147
Uhuru Highway - Haile Selassie,1/1/2025 8:45,36,165
Waiyaki Way - Westlands,1/1/2025 8:45,25,164
Ngong Road - Adams Arcade,1/1/2025 8:45,31,163
Jogoo Road - City Stadium,1/1/2025 8:45,35,134
Thika Road - Muthaiga,1/1/2025 9:00,43,129
Uhuru Highway - Haile Selassie,1/1/2025 9:00,27,193
Waiyaki Way - Westlands,1/1/2025 9:00,34,174
Ngong Road - Adams Arcade,1/1/2025 9:00,43,148
Jogoo Road - City Stadium,1/1/2025 9:00,23,148
Thika Road - Muthaiga,1/1/2025 9:15,30,130
Uhuru Highway - Haile Selassie,1/1/2025 9:15,37,174
Waiyaki Way - Westlands,1/1/2025 9:15,37,164
Ngong Road - Adams Arcade,1/1/2025 9:15,39,136
Jogoo Road - City Stadium,1/1/2025 9:15,51,148
Thika Road - Muthaiga,1/1/2025 9:30,30,153
Uhuru Highway - Haile Selassie,1/1/2025 9:30,38,159
Waiyaki Way - Westlands,1/1/2025 9:30,36,156
Ngong Road - Adams Arcade,1/1/2025 9:30,27,143
Jogoo Road - City Stadium,1/1/2025 9:30,17,139
Thika Road - Muthaiga,1/1/2025 9:45,44,137
Uhuru Highway - Haile Selassie,1/1/2025 9:45,24,179
Waiyaki Way - Westlands,1/1/2025 9:45,34,162
Ngong Road - Adams Arcade,1/1/2025 9:45,29,122
Jogoo Road - City Stadium,1/1/2025 9:45,20,152
Thika Road - Muthaiga,1/1/2025 10:00,64,95
Uhuru Highway - Haile Selassie,1/1/2025 10:00,63,126
Waiyaki Way - Westlands,1/1/2025 10:00,42,79
Ngong Road - Adams Arcade,1/1/2025 10:00,49,92
Jogoo Road - City Stadium,1/1/2025 10:00,78,102
Thika Road - Muthaiga,1/1/2025 10:15,69,98
Uhuru Highway - Haile Selassie,1/1/2025 10:15,60,124
Waiyaki Way - Westlands,1/1/2025 10:15,56,95
Ngong Road - Adams Arcade,1/1/2025 10:15,43,73
Jogoo Road - City Stadium,1/1/2025 10:15,48,87
Thika Road - Muthaiga,1/1/2025 10:30,45,124
Uhuru Highway - Haile Selassie,1/1/2025 10:30,42,120
Waiyaki Way - Westlands,1/1/2025 10:30,58,92
Ngong Road - Adams Arcade,1/1/2025 10:30,36,85
Jogoo Road - City Stadium,1/1/2025 10:30,53,84
Thika Road - Muthaiga,1/1/2025 10:45,61,79
Uhuru Highway - Haile Selassie,1/1/2025 10:45,49,110
Waiyaki Way - Westlands,1/1/2025 10:45,55,132
Ngong Road - Adams Arcade,1/1/2025 10:45,46,54
Jogoo Road - City Stadium,1/1/2025 10:45,54,85
Thika Road - Muthaiga,1/1/2025 11:00,59,78
Uhuru Highway - Haile Selassie,1/1/2025 11:00,61,117
Waiyaki Way - Westlands,1/1/2025 11:00,47,81
Ngong Road - Adams Arcade,1/1/2025 11:00,39,77
Jogoo Road - City Stadium,1/1/2025 11:00,51,121
Thika Road - Muthaiga,1/1/2025 11:15,67,71
Uhuru Highway - Haile Selassie,1/1/2025 11:15,63,141
Waiyaki Way - Westlands,1/1/2025 11:15,46,77
Ngong Road - Adams Arcade,1/1/2025 11:15,39,104
Jogoo Road - City Stadium,1/1/2025 11:15,54,101
Thika Road - Muthaiga,1/1/2025 11:30,59,76
Uhuru Highway - Haile Selassie,1/1/2025 11:30,46,61
Waiyaki Way - Westlands,1/1/2025 11:30,40,96
Ngong Road - Adams Arcade,1/1/2025 11:30,33,109
Jogoo Road - City Stadium,1/1/2025 11:30,49,88
Thika Road - Muthaiga,1/1/2025 11:45,48,111
Uhuru Highway - Haile Selassie,1/1/2025 11:45,55,127
Waiyaki Way - Westlands,1/1/2025 11:45,53,85
Ngong Road - Adams Arcade,1/1/2025 11:45,40,87
Jogoo Road - City Stadium,1/1/2025 11:45,44,96
Thika Road - Muthaiga,1/1/2025 12:00,65,91
Uhuru Highway - Haile Selassie,1/1/2025 12:00,45,133
Waiyaki Way - Westlands,1/1/2025 12:00,34,131
Ngong Road - Adams Arcade,1/1/2025 12:00,49,82
Jogoo Road - City Stadium,1/1/2025 12:00,43,99
Thika Road - Muthaiga,1/1/2025 12:15,56,86
Uhuru Highway - Haile Selassie,1/1/2025 12:15,61,101
Waiyaki Way - Westlands,1/1/2025 12:15,44,105
Ngong Road - Adams Arcade,1/1/2025 12:15,47,98
Jogoo Road - City Stadium,1/1/2025 12:15,53,107
Thika Road - Muthaiga,1/1/2025 12:30,55,77
Uhuru Highway - Haile Selassie,1/1/2025 12:30,59,121
Waiyaki Way - Westlands,1/1/2025 12:30,50,99
Ngong Road - Adams Arcade,1/1/2025 12:30,40,104
Jogoo Road - City Stadium,1/1/2025 12:30,46,103
Thika Road - Muthaiga,1/1/2025 12:45,68,86
Uhuru Highway - Haile Selassie,1/1/2025 12:45,61,122
Waiyaki Way - Westlands,1/1/2025 12:45,50,119
Ngong Road - Adams Arcade,1/1/2025 12:45,42,95
Jogoo Road - City Stadium,1/1/2025 12:45,46,99
Thika Road - Muthaiga,1/1/2025 13:00,64,91
Uhuru Highway - Haile Selassie,1/1/2025 13:00,71,97
Waiyaki Way - Westlands,1/1/2025 13:00,40,84
Ngong Road - Adams Arcade,1/1/2025 13:00,51,102
Jogoo Road - City Stadium,1/1/2025 13:00,53,104
Thika Road - Muthaiga,1/1/2025 13:15,52,89
Uhuru Highway - Haile Selassie,1/1/2025 13:15,49,111
Waiyaki Way - Westlands,1/1/2025 13:15,48,114
Ngong Road - Adams Arcade,1/1/2025 13:15,42,72
Jogoo Road - City Stadium,1/1/2025 13:15,43,101
Thika Road - Muthaiga,1/1/2025 13:30,61,77
Uhuru Highway - Haile Selassie,1/1/2025 13:30,50,113
Waiyaki Way - Westlands,1/1/2025 13:30,51,92
Ngong Road - Adams Arcade,1/1/2025 13:30,33,63
Jogoo Road - City Stadium,1/1/2025 13:30,46,84
Thika Road - Muthaiga,1/1/2025 13:45,71,94
Uhuru Highway - Haile Selassie,1/1/2025 13:45,53,122
Waiyaki Way - Westlands,1/1/2025 13:45,41,99
Ngong Road - Adams Arcade,1/1/2025 13:45,42,84
Jogoo Road - City Stadium,1/1/2025 13:45,41,99
